text,username,timestamp
Heard it.,kcs_violator,"2022-11-05 13:20:07,013"
spoopy,madworldz,"2022-11-05 13:20:11,460"
Jenga ™️ stash,fteejj,"2022-11-05 13:21:59,579"
!song,boogaloopart2,"2022-11-05 13:22:03,203"
How many donated subs for a toz factory run,krock011,"2022-11-05 13:22:11,602"
"they can just balance the ""lazer"" guns with rusty or shit ammo... I'd rather have good I feel its more more realistic to have well maintained guns but only able to find shit ammo",ophase,"2022-11-05 13:22:13,987"
Are you looking forward to MW2 DMZ @Pestily,hooshyone,"2022-11-05 13:22:16,270"
honk shoo or mi mi mi,boman_live,"2022-11-05 13:22:20,739"
Me too,hooshyone,"2022-11-05 13:22:33,536"
i dont think mw will put in the effort to make a good tarkov type game but my hopes are hoping,greencard04,"2022-11-05 13:22:47,127"
what websites would you recommend for someone whos new for maps and stuff maybe??,maxramdongo,"2022-11-05 13:23:00,073"
Looked like you had fun with Dark and darker,quickshot1,"2022-11-05 13:23:02,027"
kek,lelion,"2022-11-05 13:23:07,599"
did you play any quake or unreal tournament back in the day pest?,non_factor2018,"2022-11-05 13:23:07,908"
How much rubles is dorms v-ex?,threadripperzen,"2022-11-05 13:23:26,228"
dude unreal tournament was sooo  fun,killrclowngaming,"2022-11-05 13:23:32,780"
Do it.,madworldz,"2022-11-05 13:23:38,448"
"@greencard04 in the campaign theres a bunch of assets that are clearly for DMZ loot, super funny to realizer",fteejj,"2022-11-05 13:23:45,637"
Labs or bust. :D,ruffrays,"2022-11-05 13:23:46,756"
Do it. Watching you slay dorms is great,kinowolf,"2022-11-05 13:23:51,408"
take axe off found in raid,imsodad,"2022-11-05 13:23:52,932"
"this ""buds"" for you, you big beautiful chat! quack1 quack2 quack7",non_factor2018,"2022-11-05 13:26:08,843"
@kvng7ka just dont get hit Kappa,oblivion20132,"2022-11-05 13:26:18,704"
@kvng7ka Turn your volume up and run away when you hear footsteps....,blightyman83,"2022-11-05 13:26:27,205"
kvng7ka you can shoot with LMB,diztortion,"2022-11-05 13:26:41,388"
@kvng7ka Dont play this game,kaminek_,"2022-11-05 13:26:42,829"
wow never thought of that! @oblivion20132,kvng7ka,"2022-11-05 13:26:44,393"
@kvng7ka Right i am genius Kappa,oblivion20132,"2022-11-05 13:26:58,163"
-500k,xd_n1se,"2022-11-05 13:27:10,124"
"It's simple. Run around, click heads.",eliascoffman,"2022-11-05 13:27:15,696"
good morrow daddy pest how go to the raids? pestilyMoist pestilySalute,coachmaddog,"2022-11-05 13:27:19,174"
You are almost as poor as aqua,kaminek_,"2022-11-05 13:27:27,305"
aaron carter is dead,nankerphelge1962,"2022-11-05 13:27:36,121"
wipe or new account?,faunsoap,"2022-11-05 13:27:42,069"
Click on that >99 you heathen... we dont need to see it :(,blightyman83,"2022-11-05 13:27:48,098"
the -----,sky_tortoise,"2022-11-05 13:28:11,661"
who needs to sort when you can just sell,fteejj,"2022-11-05 13:28:13,696"
rip :( @nankerphelge1962,embraceskill,"2022-11-05 13:28:17,844"
@faunsoap wipe? hahah,sso_operator,"2022-11-05 13:28:22,389"
must be nothing to play if you reset your main,deskyfrozen,"2022-11-05 13:28:33,549"
It's ok your making it tidy!,blightyman83,"2022-11-05 13:28:45,188"
it's true,frex14,"2022-11-05 13:28:47,624"
no 4 real im looking,baby__jesus,"2022-11-05 13:28:48,191"
who?,xxshadowdustxx,"2022-11-05 13:28:48,423"
true,ipatchy,"2022-11-05 13:28:49,271"
why do i know that name. who is he,madworldz,"2022-11-05 13:28:51,307"
"He is, but thats also a weird first message\",thenolank,"2022-11-05 13:28:52,918"
its true,hasumon,"2022-11-05 13:28:53,127"
Its true Sadge,flameresistant,"2022-11-05 13:28:53,127"
"yes, news just broke",faahq2,"2022-11-05 13:28:54,126"
true,porkchopgg,"2022-11-05 13:28:57,026"
play some arron carter,fteejj,"2022-11-05 13:28:59,555"
its true,wskytangoniner4,"2022-11-05 13:29:04,392"
RIP,wskytangoniner4,"2022-11-05 13:29:07,874"
"damn, not ol boy who shit on shaq Sadge",herbalxdruid,"2022-11-05 13:29:14,816"
i mentioned it earlier lol,tristan_compton,"2022-11-05 13:29:15,278"
I WANT CANDY,fteejj,"2022-11-05 13:29:16,618"
he was 34,frex14,"2022-11-05 13:29:17,234"
@kvng7ka on a seriouse note mate... Just enjoy the game and have fun,oblivion20132,"2022-11-05 13:29:30,887"
i want it that way,thatguylynx_,"2022-11-05 13:29:30,887"
he was the brother of the blond backstreet boy right ?,turboberserker,"2022-11-05 13:29:41,005"
dang... 34..... way too young,non_factor2018,"2022-11-05 13:29:41,574"
whats with all the degenerates and hackers nowadays. it takes an age to get into a game and then insta kill before i could put my hand on any key,oddball__99,"2022-11-05 13:29:55,603"
Legit hes pasted! RIP in chat <3 <3,chaos_trigga85,"2022-11-05 13:29:57,668"
and I cannot even get a refund,oddball__99,"2022-11-05 13:30:12,392"
drugs,roxxlive,"2022-11-05 13:30:15,068"
You just spent 500k and got 500k back right away. Nice! :D,ruffrays,"2022-11-05 13:30:16,802"
Check out the latest videos on my youtube channel! https://www.youtube.com/pestily,nightbot,"2022-11-05 13:30:19,331"
backstreet brothers lol,tristan_compton,"2022-11-05 13:30:20,023"
yoiks,stache_rng,"2022-11-05 13:30:20,602"
Thank you Pest… that looks much better now!!!,juicyjoe555,"2022-11-05 13:30:26,841"
amen,s1r_edward,"2022-11-05 13:30:36,467"
"A,men",firebaaallll,"2022-11-05 13:30:39,321"
Praise RNGesus,stache_rng,"2022-11-05 13:30:46,046"
@zenyeti_ :D Great job!,crtxdistortion,"2022-11-05 13:30:55,703"
It looked like you had a great time with Dark and Darker,quickshot1,"2022-11-05 13:31:02,006"
@CrtxDistortion 3,zenyeti_,"2022-11-05 13:31:03,318"
scav on LH,houseduck22,"2022-11-05 13:31:06,538"
<3,zenyeti_,"2022-11-05 13:31:07,307"
howdy!,staghunter08,"2022-11-05 13:31:08,479"
has he done shooter born quest yet?,kjpatrick420,"2022-11-05 13:31:09,961"
Madge pull some streamer strings and make Dark and Darker come back out,blazinmonkey,"2022-11-05 13:31:24,371"
pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan,luckynzer,"2022-11-05 13:31:34,566"
loving having the game content back,frex14,"2022-11-05 13:31:36,138"
jenkle1HENLO jenkle1Love jenkle1TatorTaco,jenkletooth,"2022-11-05 13:31:38,990"
reload weapon mag in gun when this run ends,killerfun690,"2022-11-05 13:31:41,381"
HACKERMANS bls gib me back gamb,blazinmonkey,"2022-11-05 13:31:47,045"
@Pestily i keep rewatching your duo kappa run with redopz.,miniraven,"2022-11-05 13:31:53,535"
Pop punk/ post hardcore 10/10,jenkletooth,"2022-11-05 13:32:03,216"
hello youtube,houseduck22,"2022-11-05 13:32:03,297"
@Miniraven some of my fav videos,canadianfrank,"2022-11-05 13:32:15,853"
will pay them all them all the money to bring dark and darker back,dokskrew,"2022-11-05 13:32:16,084"
drowned in his tub they say @Pestily,herbalxdruid,"2022-11-05 13:32:23,916"
found in bathtub,asduell,"2022-11-05 13:32:26,569"
he was found in his bathtub,tristan_compton,"2022-11-05 13:32:26,569"
said they found him in his bathtub drowned,butchey_,"2022-11-05 13:32:28,543"
Not 100% but was found either in his ttub or pool,eibon9130,"2022-11-05 13:32:30,809"
probably OD I'd bet,tristan_compton,"2022-11-05 13:32:37,219"
all they have to do is name a price,dokskrew,"2022-11-05 13:32:39,142"
According to wiki,eibon9130,"2022-11-05 13:32:41,083"
for real - 60$ founder price or whatever... im in,blazinmonkey,"2022-11-05 13:32:45,435"
@Pestily  Pretty much.. found dead in his home during a wellness check,kinowolf,"2022-11-05 13:32:48,387"
couldnt swim ?,omgitsiance,"2022-11-05 13:32:49,789"
OD?,thunderbot111,"2022-11-05 13:33:04,703"
maybe the water was too hot,tristan_compton,"2022-11-05 13:33:14,181"
Wait who was found in their bathrub,velmarg,"2022-11-05 13:33:28,742"
you told us to lol,icepoof,"2022-11-05 13:33:36,812"
Its only easy money at the start of the wipes i feel,shanerd92,"2022-11-05 13:33:42,530"
I was hungry :),kirkle8,"2022-11-05 13:33:47,013"
@Velmarg aaron carter,tristan_compton,"2022-11-05 13:33:50,093"
pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan,miniraven,"2022-11-05 13:33:50,479"
sheeeeesh,icepoof,"2022-11-05 13:33:51,944"
pestilyStan pestilyStan pestilyStan pestilyStan,frex14,"2022-11-05 13:33:53,410"
pestilyStan pestilyStan pestilyStan,owningthrone925,"2022-11-05 13:33:55,183"
pestilyStan pestilyStan,northtown87,"2022-11-05 13:33:59,269"
pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan,pennsyltuckyan,"2022-11-05 13:34:02,234"
pestilyStan pestilyStan pestilyStan pestilyStan,blackfoxxy89,"2022-11-05 13:34:03,510"
Is there ever food on the inner shelves? I only ever find anything along the back walls. LUL,stache_rng,"2022-11-05 13:34:04,868"
@Tristan_Compton Ahhh gotcha... Thanks fo rthat,velmarg,"2022-11-05 13:34:09,134"
pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan pestilyStan,chaos_trigga85,"2022-11-05 13:34:10,723"
Hail Stalin,shorelinecrab,"2022-11-05 13:34:21,945"
New out of breath sounds?,hyperweirdchamp,"2022-11-05 13:34:25,954"
what is hail stan?,ryan_a1122,"2022-11-05 13:34:30,454"
Stale Han...?,newman2013,"2022-11-05 13:34:36,576"
